STATE,COUNTY,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
Florida,Union County,15738,9754,5984,6750,5079,2672,639,46,45,68,50,5,2,213,169,6950,5234,2831,757,78,77,97,76,14,10,9124,5686,6248,4864,2596,598,32,29,62,46,4,2,182,147,6418,4999,2734,701,57,55,88,68,11,10,630,298,502,215,76,41,14,16,6,4,1,0,31,22,532,235,97,56,21,22,9,8,3,0
Florida,Volusia County,602772,295112,307660,243148,252498,35448,38204,1669,1612,6640,7100,346,291,7861,7955,250425,259841,40055,42837,3677,3716,8866,9414,712,666,242289,254727,197653,206887,31275,33864,801,877,6301,6755,181,150,6078,6194,203241,212552,34717,37344,2259,2450,8204,8750,469,440,52823,52933,45495,45611,4173,4340,868,735,339,345,165,141,1783,1761,47184,47289,5338,5493,1418,1266,662,664,243,226
Florida,Wakulla County,37115,19651,17464,15532,14759,3261,1955,164,101,149,178,21,13,524,458,16015,15172,3543,2204,320,233,248,275,55,43,18564,16562,14627,14011,3181,1897,142,84,143,161,16,8,455,401,15048,14370,3424,2113,276,200,228,248,47,35,1087,902,905,748,80,58,22,17,6,17,5,5,69,57,967,802,119,91,44,33,20,27,8,8
Florida,Walton County,89666,44905,44761,39856,40194,2527,1977,568,566,576,752,103,82,1275,1190,41063,41306,2991,2407,1069,1046,925,1087,158,130,40506,40754,36220,36813,2376,1844,257,288,539,736,35,43,1079,1030,37246,37774,2756,2204,669,695,854,1047,76,83,4399,4007,3636,3381,151,133,311,278,37,16,68,39,196,160,3817,3532,235,203,400,351,71,40,82,47
Florida,Washington County,26503,14331,12172,11116,10178,2411,1260,222,176,71,138,29,64,482,356,11538,10492,2703,1463,377,282,152,213,53,91,13666,11668,10597,9775,2362,1218,178,156,66,133,18,61,445,325,10983,10061,2632,1398,324,255,142,204,39,86,665,504,519,403,49,42,44,20,5,5,11,3,37,31,555,431,71,65,53,27,10,9,14,5
Georgia,Appling County,18669,9453,9216,7055,7196,1919,1699,128,52,108,75,41,6,202,188,7254,7377,2072,1837,167,92,121,91,41,9,8234,8262,6106,6377,1840,1637,18,22,81,64,8,4,181,158,6284,6529,1978,1756,52,53,93,77,8,7,1219,954,949,819,79,62,110,30,27,11,33,2,21,30,970,848,94,81,115,39,28,14,33,2
Georgia,Atkinson County,8435,4288,4147,3192,3162,667,704,120,52,61,39,98,57,150,133,3339,3290,778,793,150,88,71,51,101,59,2893,3043,2127,2246,610,668,29,13,28,20,10,3,89,93,2215,2335,680,729,43,38,34,29,10,5,1395,1104,1065,916,57,36,91,39,33,19,88,54,61,40,1124,955,98,64,107,50,37,22,91,54
Georgia,Bacon County,11045,5371,5674,4195,4452,963,976,33,21,43,88,19,10,118,127,4312,4574,1050,1076,54,42,54,97,20,13,4844,5208,3771,4076,920,941,9,5,33,68,9,6,102,112,3873,4183,996,1031,25,20,44,77,9,9,527,466,424,376,43,35,24,16,10,20,10,4,16,15,439,391,54,45,29,22,10,20,11,4
Georgia,Baker County,2732,1380,1352,765,707,540,571,29,12,24,26,0,2,22,34,786,739,552,594,37,20,27,30,0,3,1257,1289,687,659,526,557,4,12,18,25,0,2,22,34,708,691,538,580,12,20,21,29,0,3,123,63,78,48,14,14,25,0,6,1,0,0,0,0,78,48,14,14,25,0,6,1,0,0
Georgia,Baldwin County,43644,22074,21570,12002,11548,9248,9175,99,57,364,398,18,20,343,372,12317,11883,9449,9398,179,143,440,483,34,42,21354,20943,11496,11084,9128,9060,49,38,352,389,14,17,315,355,11785,11403,9313,9274,121,117,424,473,28,38,720,627,506,464,120,115,50,19,12,9,4,3,28,17,532,480,136,124,58,26,16,10,6,4
Georgia,Banks County,20318,10374,9944,9439,9139,418,341,81,67,194,170,10,14,232,213,9658,9333,529,453,172,143,232,206,17,24,9491,9163,8701,8464,377,316,32,28,184,165,3,2,194,188,8884,8635,472,417,102,92,220,198,8,11,883,781,738,675,41,25,49,39,10,5,7,12,38,25,774,698,57,36,70,51,12,8,9,13
Georgia,Barrow County,96294,47640,48654,35683,36361,7887,8381,359,339,2320,2204,60,68,1331,1301,36945,37585,8658,9168,693,647,2591,2465,102,115,39030,40488,28283,29316,7344,7854,94,116,2237,2125,35,45,1037,1032,29270,30284,7951,8489,312,331,2480,2354,67,83,8610,8166,7400,7045,543,527,265,223,83,79,25,23,294,269,7675,7301,707,679,381,316,111,111,35,32
Georgia,Bartow County,117508,58086,59422,48405,49161,6842,7416,443,390,723,938,134,70,1539,1447,49862,50523,7735,8291,865,766,1011,1210,180,116,51142,53135,42448,43691,6452,7080,184,182,660,896,95,42,1303,1244,43687,44853,7219,7851,506,483,923,1146,134,81,6944,6287,5957,5470,390,336,259,208,63,42,39,28,236,203,6175,5670,516,440,359,283,88,64,46,35
Georgia,Ben Hill County,16945,7999,8946,4923,5098,2790,3507,69,72,76,83,3,4,138,182,5056,5265,2877,3622,102,119,94,108,10,14,7354,8321,4400,4596,2743,3458,34,42,66,75,1,1,110,149,4506,4730,2814,3553,58,79,82,98,5,10,645,625,523,502,47,49,35,30,10,8,2,3,28,33,550,535,63,69,44,40,12,10,5,4
Georgia,Berrien County,18666,9210,9456,7770,7898,1074,1200,62,59,97,103,13,14,194,182,7954,8064,1187,1317,113,102,134,132,18,24,8511,8901,7192,7430,1027,1168,37,49,90,100,4,2,161,152,7346,7568,1121,1266,74,84,124,124,9,12,699,555,578,468,47,32,25,10,7,3,9,12,33,30,608,496,66,51,39,18,10,8,9,12
Georgia,Bibb County,157056,73852,83204,29165,30241,41082,49016,314,330,1745,2013,147,87,1399,1517,30334,31484,41995,50036,632,676,2128,2426,221,168,69574,79337,26041,27503,40431,48363,158,165,1634,1922,64,25,1246,1359,27076,28604,41243,49284,428,464,1996,2313,131,95,4278,3867,3124,2738,651,653,156,165,111,91,83,62,153,158,3258,2880,752,752,204,212,132,113,90,73
Georgia,Bleckley County,12626,5973,6653,4345,4651,1404,1783,17,13,83,73,1,3,123,130,4465,4772,1493,1871,37,42,98,87,3,11,5667,6460,4090,4510,1378,1750,8,10,81,73,1,3,109,114,4196,4616,1455,1827,27,33,95,87,3,11,306,193,255,141,26,33,9,3,2,0,0,0,14,16,269,156,38,44,10,9,3,0,0,0
Georgia,Brantley County,18795,9214,9581,8520,8795,410,489,50,69,39,33,1,6,194,189,8708,8970,508,582,125,142,62,60,7,16,8930,9328,8319,8590,358,469,33,56,39,32,1,5,180,176,8493,8752,448,556,105,124,61,58,5,14,284,253,201,205,52,20,17,13,0,1,0,1,14,13,215,218,60,26,20,18,1,2,2,2
Georgia,Brooks County,16344,7863,8481,4919,4918,2649,3177,44,49,102,136,13,25,136,176,5048,5079,2725,3273,76,99,133,173,17,35,7279,7820,4451,4453,2586,3061,33,34,99,131,3,5,107,136,4552,4575,2643,3134,58,70,127,165,6,14,584,661,468,465,63,116,11,15,3,5,10,20,29,40,496,504,82,139,18,29,6,8,11,21
Georgia,Bryan County,51105,25146,25959,19292,19737,3894,4216,155,184,821,794,38,51,946,977,20183,20633,4420,4808,336,346,1097,1082,74,90,22836,23699,17473,18036,3682,3984,76,66,800,757,29,42,776,814,18204,18779,4106,4478,205,186,1052,1018,60,73,2310,2260,1819,1701,212,232,79,118,21,37,9,9,170,163,1979,1854,314,330,131,160,45,64,14,17
Georgia,Bulloch County,85454,41605,43849,28192,28219,11543,13517,299,205,546,698,82,52,943,1158,29066,29279,12115,14242,480,431,784,998,121,94,39113,41791,26358,26639,11229,13278,124,117,528,679,62,41,812,1037,27108,27588,11718,13933,265,303,753,962,97,78,2492,2058,1834,1580,314,239,175,88,18,19,20,11,131,121,1958,1691,397,309,215,128,31,36,24,16
Georgia,Burke County,24472,11674,12798,6134,6314,5156,6027,83,63,69,112,17,19,215,263,6340,6560,5288,6210,132,115,105,153,26,27,11181,12366,5794,6010,5053,5949,71,46,54,106,15,16,194,239,5980,6232,5170,6118,115,90,87,145,24,24,493,432,340,304,103,78,12,17,15,6,2,3,21,24,360,328,118,92,17,25,18,8,2,3
Georgia,Butts County,27127,14485,12642,9376,8854,4602,3312,75,47,91,102,10,5,331,322,9687,9154,4806,3527,144,110,161,157,19,21,13803,12114,8871,8486,4501,3222,49,32,83,97,8,3,291,274,9147,8741,4680,3409,108,80,143,148,16,15,682,528,505,368,101,90,26,15,8,5,2,2,40,48,540,413,126,118,36,30,18,9,3,6
Georgia,Calhoun County,5441,3382,2059,1150,762,2119,1231,20,7,25,36,20,0,48,23,1188,782,2151,1248,40,10,30,40,21,2,3262,2025,1080,731,2107,1230,4,5,25,36,0,0,46,23,1118,751,2138,1247,22,8,30,40,0,2,120,34,70,31,12,1,16,2,0,0,20,0,2,0,70,31,13,1,18,2,0,0,21,0
Georgia,Camden County,59099,30388,28711,23199,21278,5390,5529,245,189,466,545,70,88,1018,1082,24127,22234,5939,6164,438,410,807,876,117,141,27805,26466,21165,19528,5126,5314,155,118,418,504,52,67,889,935,21973,20349,5602,5871,306,292,738,807,96,112,2583,2245,2034,1750,264,215,90,71,48,41,18,21,129,147,2154,1885,337,293,132,118,69,69,21,29
