County,State,something1,something2,Founded_date,footnotes
Mississippi,MO,"12,577",413,,
Moniteau,MO,"15,473",417,,
Monroe,MO,"8,666",646,,
Montgomery,MO,"11,322",539,,
Morgan,MO,"21,006",598,,
New Madrid,MO,"16,434",678,,
Newton,MO,"58,648",626,,
Nodaway,MO,"21,241",877,,
Oregon,MO,"8,635",792,,
Osage,MO,"13,274",606,,
Ozark,MO,"8,553",747,,
Pemiscot,MO,"15,661",493,,
Perry,MO,"18,956",475,,
Pettis,MO,"42,980",685,,
Phelps,MO,"44,638",673,,
Pike,MO,"17,587",673,,
Platte,MO,"106,718",420,,
Polk,MO,"31,519",637,,
Pulaski,MO,"53,955",547,,
Putnam,MO,"4,681",518,,
Ralls,MO,"10,355",471,,
Randolph,MO,"24,716",482,,
Ray,MO,"23,158",570,,
Reynolds,MO,"6,096",811,,
Ripley,MO,"10,679",630,,
St. Charles,MO,"405,262",593,,
St. Clair,MO,"9,284",677,,
St. Francois,MO,"66,922",508,,
St. Louis,MO,"1,004,125",508,,
Ste. Genevieve,MO,"18,479",502,,
Saline,MO,"23,333",756,,
Schuyler,MO,"4,032",308,,
Scotland,MO,"4,716",438,,
Scott,MO,"38,059",421,,
Shannon,MO,"7,031","1,004",,
Shelby,MO,"6,103",501,,
Stoddard,MO,"28,672",827,,
Stone,MO,"31,076",463,,
Sullivan,MO,"5,999",651,,
Taney,MO,"56,066",632,,
Texas,MO,"24,487","1,179",,
Vernon,MO,"19,707",834,,
Warren,MO,"35,532",432,,
Washington,MO,"23,514",760,,
Wayne,MO,"10,974",761,,
Webster,MO,"39,085",593,,
Worth,MO,"1,973",266,,
Wright,MO,"18,188",682,,
"St. Louis, City of",MO,"301,578",61.9,,
Beaverhead,MT,"9,371",5543,,
Big Horn,MT,"13,124",4995,,
Blaine,MT,"7,044",4226,,
Broadwater,MT,"6,774",1192,,
Carbon,MT,"10,473",2048,,
Carter,MT,"1,415",3340,,
Cascade,MT,"84,414",2698,,
Chouteau,MT,"5,895",3973,,
Custer,MT,"11,867",3783,,
Daniels,MT,"1,661",1426,,
Dawson,MT,"8,940",2373,,
Deer Lodge,MT,"9,421",737,,
Fallon,MT,"3,049",1620,,
Fergus,MT,"11,446",4339,,
Flathead,MT,"104,357",5099,,
Gallatin,MT,"118,960",2507,,
Garfield,MT,"1,173",4668,,
Glacier,MT,"13,778",2995,,
Golden Valley,MT,823,1175,,
Granite,MT,"3,309",1728,,
Hill,MT,"16,309",2896,,
Jefferson,MT,"12,085",1657,,
Judith Basin,MT,"2,023",1870,,
Lake,MT,"31,134",194,,
Lewis and Clark,MT,"70,973",3461,,
Liberty,MT,"1,959",1430,,
Lincoln,MT,"19,677",3613,,
Madison,MT,"8,623",2643,,
McCone,MT,"1,729",3587,,
Meagher,MT,"1,927",232,,
Mineral,MT,"4,535",1220,,
Missoula,MT,"117,922",2598,,
Musselshell,MT,"4,730",1867,,
Park,MT,"17,191",2656,,
Petroleum,MT,496,1654,,
Phillips,MT,"4,217",5140,,
Pondera,MT,"5,898",1625,,
Powder River,MT,"1,694",3297,,
Powell,MT,"6,946",2326,,
Prairie,MT,"1,088",1737,,
Ravalli,MT,"44,174",2394,,
Richland,MT,"11,491",2084,,
Roosevelt,MT,"10,794",2356,,
Rosebud,MT,"8,329",5012,,
Sanders,MT,"12,400",2762,,
Sheridan,MT,"3,539",1677,,
Silver Bow,MT,"35,133",718,,
Stillwater,MT,"8,963",1795,,
Sweet Grass,MT,"3,678",1855,,
Teton,MT,"6,226",2273,,
Toole,MT,"4,971",1911,,
Treasure,MT,762,979,,
Valley,MT,"7,578",4921,,
Wheatland,MT,"2,069",1423,,
Wibaux,MT,937,889,,
Yellowstone,MT,"164,731",2635,,
Adams,NE,"31,205",563,,
Antelope,NE,"6,295",857,,
Arthur,NE,434,715,,
Banner,NE,674,746,,
Blaine,NE,431,711,,
Boone,NE,"5,379",687,,
Box Butte,NE,"10,842",1075,,
Boyd,NE,"1,810",540,,
Brown,NE,"2,903",1221,,
Buffalo,NE,"50,084",968,,
Burt,NE,"6,722",493,,
Butler,NE,"8,369",584,,
Cass,NE,"26,598",559,,
Cedar,NE,"8,380",740,,
Chase,NE,"3,893",894,,
Cherry,NE,"5,455",5961,,
Cheyenne,NE,"9,468",1196,,
Clay,NE,"6,104",573,,
Colfax,NE,"10,582",413,,
Cuming,NE,"9,013",572,,
Custer,NE,"10,545",2579,,
Dakota,NE,"21,582",264,,
Dawes,NE,"8,199",1396,,
Dawson,NE,"24,111",1013,,
Deuel,NE,"1,838",440,,
Dixon,NE,"5,606",476,,
Dodge,NE,"37,167",534,,
Douglas,NE,"584,526",331,,
Dundy,NE,"1,654",920,,
Fillmore,NE,"5,551",576,,
Franklin,NE,"2,889",576,,
Frontier,NE,"2,519",975,,
Furnas,NE,"4,636",718,,
Gage,NE,"21,704",855,,
Garden,NE,"1,874",1705,,
Garfield,NE,"1,813",570,,
Gosper,NE,"1,893",458,,
Grant,NE,611,776,,
Greeley,NE,"2,188",570,,
Hall,NE,"62,895",546,,
Hamilton,NE,"9,429",544,,
Harlan,NE,"3,073",553,,
Hayes,NE,856,713,,
Hitchcock,NE,"2,616",710,,
Holt,NE,"10,127",2413,,
Hooker,NE,711,721,,
Howard,NE,"6,475",570,,
Jefferson,NE,"7,240",573,,
Johnson,NE,"5,290",376,,
Kearney,NE,"6,688",516,,
Keith,NE,"8,335",1061,,
Keya Paha,NE,769,773,,
Kimball,NE,"3,434",952,,
Knox,NE,"8,391",1108,,
Lancaster,NE,"322,608",839,,
Lincoln,NE,"34,676",2564,,
Logan,NE,716,571,,
Loup,NE,607,570,,
Madison,NE,"35,585",859,,
McPherson,NE,399,573,,
Merrick,NE,"7,668",485,,
Morrill,NE,"4,555",1424,,
Nance,NE,"3,380",441,,
Nemaha,NE,"7,074",409,,
Nuckolls,NE,"4,095",575,,
Otoe,NE,"15,912",616,,
Pawnee,NE,"2,544",432,,
Perkins,NE,"2,858",883,,
Phelps,NE,"8,968",540,,
Pierce,NE,"7,317",574,,
Platte,NE,"34,296",678,,
Polk,NE,"5,214",439,,
Red Willow,NE,"10,702",717,,
Richardson,NE,"7,871",554,,
Rock,NE,"1,262",1008,,
Saline,NE,"14,292",575,,
Sarpy,NE,"190,604",241,,
Saunders,NE,"22,278",754,,
Scotts Bluff,NE,"36,084",739,,
Seward,NE,"17,609",575,,
Sheridan,NE,"5,127",2441,,
Sherman,NE,"2,959",566,,
Sioux,NE,"1,135",1313,,
Stanton,NE,"5,842",430,,
Thayer,NE,"5,034",575,,
Thomas,NE,669,713,,
Thurston,NE,"6,773",394,,
Valley,NE,"4,059",568,,
Washington,NE,"20,865",390,,
Wayne,NE,"9,697",444,,
Webster,NE,"3,395",575,,
Wheeler,NE,774,575,,
York,NE,"14,125",576,,
Churchill,NV,"25,516",4929,,
Clark,NV,"2,265,461",7911,,
Douglas,NV,"49,488",710,,
Elko,NV,"53,702",17182,,
Esmeralda,NV,729,3589,,
Eureka,NV,"1,855",4176,,
Humboldt,NV,"17,285",9658,,
Lander,NV,"5,734",5798,,
Lincoln,NV,"4,499",10635,,
Lyon,NV,"59,235",1994,,
Mineral,NV,"4,554",3757,,
Nye,NV,"51,591",18147,,
Pershing,NV,"6,650",6009,,
Storey,NV,"4,104",264,,
Washoe,NV,"486,492",6342,,
White Pine,NV,"9,080",8877,,
Carson City,NV,"58,639",144,,
Belknap,NH,"63,705",401,,
Carroll,NH,"50,107",934,,
Cheshire,NH,"76,458",708,,
Coos,NH,"31,268",1801,,
Grafton,NH,"91,118",1714,,
Hillsborough,NH,"422,937",876,,
Merrimack,NH,"153,808",934,,
Rockingham,NH,"314,176",695,,
Strafford,NH,"130,889",369,,
Sullivan,NH,"43,063",537,,
Atlantic,NJ,"274,534",561,,
Bergen,NJ,"955,732",234,,
Burlington,NJ,"461,860",805,,
Camden,NJ,"523,485",222,,
Cape May,NJ,"95,263",255,,
Cumberland,NJ,"154,152",489,,
Essex,NJ,"863,728",126,,
Gloucester,NJ,"302,294",325,,
Hudson,NJ,"724,854",47,,
Hunterdon,NJ,"128,947",430,,
Mercer,NJ,"387,340",226,,
Middlesex,NJ,"863,162",311,,
Monmouth,NJ,"643,615",472,,
Morris,NJ,"509,285",469,,
Ocean,NJ,"637,229",636,,
Passaic,NJ,"524,118",185,,
Salem,NJ,"64,837",338,,
Somerset,NJ,"345,361",305,,
Sussex,NJ,"144,221",521,,
Union,NJ,"575,345",103,,
Warren,NJ,"109,632",358,,
Bernalillo,NM,"676,444",1166,,
Catron,NM,"3,579",6928,,
Chaves,NM,"65,157",6071,,
Cibola,NM,"27,172",4540,,
Colfax,NM,"12,387",3757,,
Curry,NM,"48,430",1406,,
De Baca,NM,"1,698",2325,,
Doña Ana,NM,"219,561",3807,,
Eddy,NM,"62,314",4182,,
Grant,NM,"28,185",3966,,
Guadalupe,NM,"4,452",3031,,
Harding,NM,657,2126,,
Hidalgo,NM,"4,178",3446,,
Lea,NM,"74,455",4393,,
Lincoln,NM,"20,269",4831,,
Los Alamos,NM,"19,419",109,,
Luna,NM,"25,427",2965,,
McKinley,NM,"72,902",5449,,
Mora,NM,"4,189",1931,,
Otero,NM,"67,839",6627,,
Quay,NM,"8,746",2855,,
Rio Arriba,NM,"40,363",5858,,
Roosevelt,NM,"19,191",2449,,
San Juan,NM,"121,661",5514,,
San Miguel,NM,"27,201",4717,,
Sandoval,NM,"148,834",3710,,
Santa Fe,NM,"154,823",1909,,
Sierra,NM,"11,576",4180,,
Socorro,NM,"16,595",6647,,
Taos,NM,"34,489",2203,,
Torrance,NM,"15,045",3345,,
Union,NM,"4,079",3830,,
Valencia,NM,"76,205",1068,,
Albany,NY,"314,848",533,,
Allegany,NY,"46,456",1034,,
Bronx,NY,"1,472,654",57.43,,
Broome,NY,"198,683",715,,
Cattaraugus,NY,"77,042",1310,,
Cayuga,NY,"76,248",864,,
Chautauqua,NY,"127,657",1500,,
Chemung,NY,"84,148",410.81,,
Chenango,NY,"47,220",898.95,,
Clinton,NY,"79,843",1118,,
Columbia,NY,"61,570",648,,
Cortland,NY,"46,809",502,,
Delaware,NY,"44,308",1468,,
Dutchess,NY,"295,911",825,,
Erie,NY,"954,236",1227,,
Essex,NY,"37,381",1916,,
Franklin,NY,"47,555",1697,,
Fulton,NY,"53,324",533,,
Genesee,NY,"58,388",495,,
Greene,NY,"47,931",658,,
Hamilton,NY,"5,107",1808,,
Herkimer,NY,"60,139",1458,,
Jefferson,NY,"116,721",1857,,
Kings,NY,"2,736,074",96.9,,
Lewis,NY,"26,582",1290,,
Livingston,NY,"61,834",640,,
Madison,NY,"68,016",662,,
Monroe,NY,"759,443",1366,,
Montgomery,NY,"49,532",410,,
Nassau,NY,"1,395,774",453,,
New York,NY,"1,694,251",33.77,,
Niagara,NY,"212,666",1140,,
Oneida,NY,"232,125",1213,,
Onondaga,NY,"476,516",806,,
Ontario,NY,"112,458",662,,
Orange,NY,"401,310",839,,
Orleans,NY,"40,343",817,,
Oswego,NY,"117,525",1312,,
Otsego,NY,"58,524",1003,,
Putnam,NY,"97,668",246,,
Queens,NY,"2,405,464",178.28,,
Rensselaer,NY,"161,130",665,,
Richmond,NY,"495,747",102.5,,
Rockland,NY,"338,329",199,,
St. Lawrence,NY,"108,505",2821,,
Saratoga,NY,"235,509",844,,
Schenectady,NY,"158,061",210,,
Schoharie,NY,"29,714",626,,
Schuyler,NY,"17,898",342,,
Seneca,NY,"33,814",325,,
Steuben,NY,"93,584",1404,,
Suffolk,NY,"1,525,920",2373,,
Sullivan,NY,"78,624",997,,
Tioga,NY,"48,455",523,,
Tompkins,NY,"105,740",476,,
Ulster,NY,"181,851",1161,,
Warren,NY,"65,737",870,,
Washington,NY,"61,302",846,,
Wayne,NY,"91,283",1384,,
Westchester,NY,"1,004,457",500,,
Wyoming,NY,"40,531",596,,
Yates,NY,"24,774",376,,
Alamance,NC,"171,415",435,,
Alexander,NC,"36,444",263,,
Alleghany,NC,"10,888",236,,
Anson,NC,"22,055",537,,
Ashe,NC,"26,577",427,,
Avery,NC,"17,806",247,,
Beaufort,NC,"44,652",959,,
Bertie,NC,"17,934",741,,
Bladen,NC,"29,606",887,,
Brunswick,NC,"136,693",860,,
Buncombe,NC,"269,452",660,,
Burke,NC,"87,570",515,,
Cabarrus,NC,"225,804",365,,
Caldwell,NC,"80,652",474,,
Camden,NC,"10,355",306,,
Carteret,NC,"67,686",1341,,
Caswell,NC,"22,736",428,,
Catawba,NC,"160,610",414,,
Chatham,NC,"76,285",709,,
Cherokee,NC,"28,774",497,,
Chowan,NC,"13,708",233,,
Clay,NC,"11,089",221,,
Cleveland,NC,"99,519",469,,
Columbus,NC,"50,623",954,,
Craven,NC,"100,720",774,,
Cumberland,NC,"334,728",658,,
Currituck,NC,"28,100",526,,
Dare,NC,"36,915",1562,,
Davidson,NC,"168,930",567,,
Davie,NC,"42,712",267,,
Duplin,NC,"48,715",819,,
Durham,NC,"324,833",298,,
Edgecombe,NC,"48,900",507,,
Forsyth,NC,"382,590",413,,
Franklin,NC,"68,573",495,,
Gaston,NC,"227,943",364,,
Gates,NC,"10,478",346,,
Graham,NC,"8,030",302,,
Granville,NC,"60,992",537,,
Greene,NC,"20,451",266,,
Guilford,NC,"541,299",658,,
Halifax,NC,"48,622",731,,
Harnett,NC,"133,568",601,,
Haywood,NC,"62,089",555,,
Henderson,NC,"116,281",375,,
Hertford,NC,"21,552",360,,
Hoke,NC,"52,082",392,,
Hyde,NC,"4,589",1424,,
Iredell,NC,"186,693",597,,
Jackson,NC,"43,109",494,,
Johnston,NC,"215,999",796,,
Jones,NC,"9,172",473,,
Lee,NC,"63,285",259,,
Lenoir,NC,"55,122",402,,
Lincoln,NC,"86,810",307,,
Macon,NC,"37,014",452,,
Madison,NC,"21,193",461,,
Martin,NC,"22,031",446,,
McDowell,NC,"44,578",519,,
Mecklenburg,NC,"1,115,482",546,,
Mitchell,NC,"14,903",222,,
Montgomery,NC,"25,751",502,,
Moore,NC,"99,727",706,,
Nash,NC,"94,970",543,,
New Hanover,NC,"225,702",328,,
Northampton,NC,"17,471",551,,
Onslow,NC,"204,576",909,,
Orange,NC,"148,696",401,,
Pamlico,NC,"12,276",566,,
Pasquotank,NC,"40,568",289,,
Pender,NC,"60,203",933,,
Perquimans,NC,"13,005",329,,
Person,NC,"39,097",404,,
Pitt,NC,"170,243",655,,
Polk,NC,"19,328",239,,
Randolph,NC,"144,171",790,,
Richmond,NC,"42,946",480,,
Robeson,NC,"116,530",951,,
Rockingham,NC,"91,096",572,,
Rowan,NC,"146,875",524,,
Rutherford,NC,"64,444",566,,
Sampson,NC,"59,036",947,,
Scotland,NC,"34,174",321,,
Stanly,NC,"62,504",404,,
Stokes,NC,"44,520",456,,
Surry,NC,"71,359",538,,
Swain,NC,"14,117",541,,
Transylvania,NC,"32,986",381,,
Tyrrell,NC,"3,245",600,,
Union,NC,"238,267",640,,
Vance,NC,"42,578",270,,
Wake,NC,"1,129,410",857,,
Warren,NC,"18,642",444,,
Washington,NC,"11,003",424,,
Watauga,NC,"54,086",313,,
Wayne,NC,"117,333",557,,
Wilkes,NC,"65,969",760,,
Wilson,NC,"78,784",374,,
Yadkin,NC,"37,214",337,,
Yancey,NC,"18,470",313,,
Adams,ND,"2,200",988,,
Barnes,ND,"10,853",1492,,
Benson,ND,"5,964",1389,,
Billings,ND,945,1152,,
Bottineau,ND,"6,379",1669,,
Bowman,ND,"2,993",1162,,
Burke,ND,"2,201",1104,,
Burleigh,ND,"98,458",1633,,
Cass,ND,"184,525",1766,,
Cavalier,ND,"3,704",1489,,
Dickey,ND,"4,999",1131,,
Divide,ND,"2,195",1259,,
Dunn,ND,"4,095",2010,,
Eddy,ND,"2,347",632,,
Emmons,ND,"3,301",1510,,
Foster,ND,"3,397",635,,
Golden Valley,ND,"1,736",1002,,
Grand Forks,ND,"73,170",1438,,
Grant,ND,"2,301",1660,,
Griggs,ND,"2,306",708,,
Hettinger,ND,"2,489",1132,,
Kidder,ND,"2,394",1352,,
LaMoure,ND,"4,093",1147,,
Logan,ND,"1,876",993,,
McHenry,ND,"5,345",1874,,
McIntosh,ND,"2,530",975,,
McKenzie,ND,"14,704",2742,,
McLean,ND,"9,771",2110,,
Mercer,ND,"8,350",1045,,
Morton,ND,"33,291",1926,,
Mountrail,ND,"9,809",1824,,
Nelson,ND,"3,015",982,,
Oliver,ND,"1,877",724,,
Pembina,ND,"6,844",1119,,
Pierce,ND,"3,990",1018,,
Ramsey,ND,"11,605",1186,,
Ransom,ND,"5,703",863,,
Renville,ND,"2,282",875,,
Richland,ND,"16,529",1437,,
Rolette,ND,"12,187",902,,
Sargent,ND,"3,862",859,,
Sheridan,ND,"1,265",972,,
Sioux,ND,"3,898",1094,,
Slope,ND,706,1218,,
Stark,ND,"33,646",1338,,
Steele,ND,"1,798",712,,
Stutsman,ND,"21,593",2222,,
Towner,ND,"2,162",1025,,
Traill,ND,"7,997",862,,
Walsh,ND,"10,563",1282,,
Ward,ND,"69,919",2013,,
Wells,ND,"3,982",1271,,
Williams,ND,"40,950",2071,,
Northern Islands,MP,0,59.75,,
Rota,MP,"2,477",32.97,,
Saipan,MP,"48,220",44.55,,
Tinian,MP,"3,136",39.00,,
Adams,OH,"27,477",583.91,,
Allen,OH,"102,206",404.43,,
Ashland,OH,"52,447",424.37,,
Ashtabula,OH,"97,574",702.44,,
Athens,OH,"62,431",506.76,,
Auglaize,OH,"46,422",401.25,,
Belmont,OH,"66,497",537.35,,
Brown,OH,"43,676",491.76,,
Butler,OH,"390,357",467.27,,
Carroll,OH,"26,721",394.67,,
Champaign,OH,"38,714",428.56,,
Clark,OH,"136,001",399.86,,
Clermont,OH,"208,601",451.99,,
Clinton,OH,"42,018",410.88,,
Columbiana,OH,"101,877",532.46,,
Coshocton,OH,"36,612",564.07,,
Crawford,OH,"42,025",402.11,,
Cuyahoga,OH,"1,264,817",458.49,,
Darke,OH,"51,881",599.8,,
Defiance,OH,"38,286",411.16,,
Delaware,OH,"214,124",442.41,,
Erie,OH,"75,622",254.88,,
Fairfield,OH,"158,921",505.11,,
Fayette,OH,"28,951",406.58,,
Franklin,OH,"1,323,807",539.87,,
Fulton,OH,"42,713",406.78,,
Gallia,OH,"29,220",468.78,,
Geauga,OH,"95,397",403.66,,
Greene,OH,"167,966",414.88,,
Guernsey,OH,"38,438",521.9,,
Hamilton,OH,"830,639",407.36,,
Hancock,OH,"74,920",531.35,,
Hardin,OH,"30,696",470.29,,
Harrison,OH,"14,483",403.53,,
Henry,OH,"27,662",416.5,,
Highland,OH,"43,317",553.28,,
Hocking,OH,"28,050",422.75,,
Holmes,OH,"44,223",422.99,,
Huron,OH,"58,565",429.69,,
Jackson,OH,"32,653",420.28,,
Jefferson,OH,"65,249",409.61,,
Knox,OH,"62,721",527.12,,
Lake,OH,"232,603",228.21,,
Lawrence,OH,"58,240",454.96,,
Licking,OH,"178,519",686.5,,
Logan,OH,"46,150",458.44,,
Lorain,OH,"312,964",492.5,,
Lucas,OH,"431,279",340.46,,
Madison,OH,"43,824",465.44,,
Mahoning,OH,"228,614",415.25,,
Marion,OH,"65,359",403.84,,
Medina,OH,"182,470",423,,
Meigs,OH,"22,210",429.42,,
Mercer,OH,"42,528",463.27,,
Miami,OH,"108,774",407.04,,
Monroe,OH,"13,385",455.54,,
Montgomery,OH,"537,309",461.68,,
Morgan,OH,"13,802",417.66,,
Morrow,OH,"34,950",406.22,,
Muskingum,OH,"86,410",664.63,,
Noble,OH,"14,115",399,,
Ottawa,OH,"40,364",254.95,,
Paulding,OH,"18,806",416.26,,
Perry,OH,"35,408",409.78,,
Pickaway,OH,"58,539",501.91,,
Pike,OH,"27,088",441.49,,
Portage,OH,"161,791",492.39,,
Preble,OH,"40,999",424.8,,
Putnam,OH,"34,451",483.87,,
Richland,OH,"124,936",496.88,,
Ross,OH,"77,093",688.41,,
Sandusky,OH,"58,896",409.18,,
Scioto,OH,"74,008",612.27,,
Seneca,OH,"55,069",550.59,,
Shelby,OH,"48,230",409.27,,
Stark,OH,"374,853",576.14,,
Summit,OH,"540,428",419.38,,
Trumbull,OH,"201,977",616.48,,
Tuscarawas,OH,"93,263",567.58,,
Union,OH,"62,784",436.65,,
Van Wert,OH,"28,931",410.09,,
Vinton,OH,"12,800",414.08,,
Warren,OH,"242,337",399.63,,
Washington,OH,"59,771",635.15,,
Wayne,OH,"116,894",555.36,,
Williams,OH,"37,102",421.74,,
Wood,OH,"132,248",617.32,,
Wyandot,OH,"21,900",405.61,,
Adair,OK,"19,495",576,,
Alfalfa,OK,"5,699",867,,
Atoka,OK,"14,143",978,,
Beaver,OK,"5,049",1814,,
Beckham,OK,"22,410",902,,
Blaine,OK,"8,735",929,,
Bryan,OK,"46,067",909,,
Caddo,OK,"26,945",1278,,
Canadian,OK,"154,405",900,,
Carter,OK,"48,003",824,,
Cherokee,OK,"47,078",751,,
Choctaw,OK,"14,204",774,,
Cimarron,OK,"2,296",1835,,
Cleveland,OK,"295,528",536,,
Coal,OK,"5,266",518,,
Comanche,OK,"121,125",1069,,
Cotton,OK,"5,527",637,,
Craig,OK,"14,107",761,,
Creek,OK,"71,754",956,,
Custer,OK,"28,513",987,,
Delaware,OK,"40,397",741,,
Dewey,OK,"4,484",1000,,
Ellis,OK,"3,749",1229,,
Garfield,OK,"62,846",1058,,
Garvin,OK,"25,656",809,,
Grady,OK,"54,795",1101,,
Grant,OK,"4,169",1001,,
Greer,OK,"5,491",639,,
Harmon,OK,"2,488",538,,
Harper,OK,"3,272",1039,,
Haskell,OK,"11,561",577,,
Hughes,OK,"13,367",807,,
Jackson,OK,"24,785",803,,
Jefferson,OK,"5,337",759,,
Johnston,OK,"10,272",645,,
Kay,OK,"43,700",919,,
Kingfisher,OK,"15,184",903,,
Kiowa,OK,"8,509",1015,,
Latimer,OK,"9,444",722,,
Le Flore,OK,"48,129",1586,,
Lincoln,OK,"33,458",959,,
Logan,OK,"49,555",745,,
Love,OK,"10,146",515,,
Major,OK,"7,782",570,,
Marshall,OK,"15,312",1852,,
Mayes,OK,"39,046",620,,
McClain,OK,"41,662",957,,
McCurtain,OK,"30,814",371,,
McIntosh,OK,"18,941",656,,
Murray,OK,"13,904",418,,
Muskogee,OK,"66,339",814,,
Noble,OK,"10,924",732,,
Nowata,OK,"9,320",565,,
Okfuskee,OK,"11,310",625,,
Oklahoma,OK,"796,292",709,,
Okmulgee,OK,"36,706",697,,
Osage,OK,"45,818",2251,,
Ottawa,OK,"30,285",471,,
Pawnee,OK,"15,553",570,,
Payne,OK,"81,646",686,,
Pittsburg,OK,"43,773",1306,,
Pontotoc,OK,"38,065",720,,
Pottawatomie,OK,"72,454",788,,
Pushmataha,OK,"10,812",1397,,
Roger Mills,OK,"3,442",1142,,
Rogers,OK,"95,240",675,,
Seminole,OK,"23,556",632,,
Sequoyah,OK,"39,281",674,,
Stephens,OK,"42,848",877,,
Texas,OK,"21,384",2037,,
Tillman,OK,"6,968",872,,
Tulsa,OK,"669,279",570,,
Wagoner,OK,"80,981",563,,
Washington,OK,"52,455",417,,
Washita,OK,"10,924",1004,,
Woods,OK,"8,624",1287,,
Woodward,OK,"20,470",1242,,
Baker,OR,"16,668",3068,,
Benton,OR,"95,184",676,,
Clackamas,OR,"421,401",868,,
Clatsop,OR,"41,072",827,,
Columbia,OR,"52,589",657,,
Coos,OR,"64,929",1600,,
Crook,OR,"24,738",2980,,
Curry,OR,"23,446",1627,,
Deschutes,OR,"198,253",3018,,
Douglas,OR,"111,201",5037,,
Gilliam,OR,"1,995",1204,,
Grant,OR,"7,233",4529,,
Harney,OR,"7,495",10135,,
Hood River,OR,"23,977",522,,
Jackson,OR,"223,259",2785,,
Jefferson,OR,"24,502",1781,,
Josephine,OR,"88,090",1640,,
Klamath,OR,"69,413",5945,,
Lake,OR,"8,160",7940,,
Lane,OR,"382,971",4554,,
Lincoln,OR,"50,395",980,,
Linn,OR,"128,610",2291,,
Malheur,OR,"31,571",9888,,
Marion,OR,"345,920",1185,,
Morrow,OR,"12,186",2033,,
Multnomah,OR,"815,428",435,,
Polk,OR,"87,433",741,,
Sherman,OR,"1,870",823,,
Tillamook,OR,"27,390",1102,,
Umatilla,OR,"80,075",3215,,
Union,OR,"26,196",2037,,
Wallowa,OR,"7,391",3145,,
Wasco,OR,"26,670",2381,,
Washington,OR,"600,372",724,,
Wheeler,OR,"1,451",1715,,
Yamhill,OR,"107,722",716,,
Adams,PA,"103,852",522,,
Allegheny,PA,"1,250,578",745,,
Armstrong,PA,"65,558",664,,
Beaver,PA,"168,215",444,,
Bedford,PA,"47,577",1015,,
Berks,PA,"428,849",866,,
Blair,PA,"122,822",527,,
Bradford,PA,"59,967",1161,,
Bucks,PA,"646,538",622,,
Butler,PA,"193,763",795,,
Cambria,PA,"133,472",693,,
Cameron,PA,"4,547",399,,
Carbon,PA,"64,749",387,,
Centre,PA,"158,172",1112,,
Chester,PA,"534,413",760,,
Clarion,PA,"37,241",609,,
Clearfield,PA,"80,562",1154,,
Clinton,PA,"37,450",898,,
Columbia,PA,"64,727",490,,
Crawford,PA,"83,938",1038,,
Cumberland,PA,"259,469",551,,
Dauphin,PA,"286,401",558,,
Delaware,PA,"576,830",191,,
Elk,PA,"30,990",832,,
Erie,PA,"270,876",799,,
Fayette,PA,"128,804",798,,
Forest,PA,"6,973",431,,
Franklin,PA,"155,932",771,,
Fulton,PA,"14,556",438,,
Greene,PA,"35,954",578,,
Huntingdon,PA,"44,092",889,,
Indiana,PA,"83,246",834,,
Jefferson,PA,"44,492",657,,
Juniata,PA,"23,509",394,,
Lackawanna,PA,"215,896",465,,
Lancaster,PA,"552,984",984,,
Lawrence,PA,"86,070",363,,
Lebanon,PA,"143,257",363,,
Lehigh,PA,"374,557",349,,
Luzerne,PA,"325,594",907,,
Lycoming,PA,"114,188",1244,,
McKean,PA,"40,432",984,,
Mercer,PA,"110,652",683,,
Mifflin,PA,"46,143",415,,
Monroe,PA,"168,327",617,,
Montgomery,PA,"856,553",487,,
Montour,PA,"18,136",132,,
Northampton,PA,"312,951",377,,
Northumberland,PA,"91,647",477,,
Perry,PA,"45,842",556,,
Philadelphia,PA,"1,603,797",143,,
Pike,PA,"58,535",567,,
Potter,PA,"16,396",1081,,
Schuylkill,PA,"143,049",778,,
Snyder,PA,"39,736",332,,
Somerset,PA,"74,129",1081,,
Sullivan,PA,"5,840",452,,
Susquehanna,PA,"38,434",832,,
Tioga,PA,"41,045",1137,,
Union,PA,"42,681",317,,
Venango,PA,"50,454",683,,
Warren,PA,"38,587",898,,
Washington,PA,"209,349",861,,
Wayne,PA,"51,155",751,,
Westmoreland,PA,"354,663",1036,,
Wyoming,PA,"26,069",406,,
York,PA,"456,438",910,,
Adjuntas,PR,"18,020",66.69,,
Aguada,PR,"38,136",30.85,,
Aguadilla,PR,"55,101",36.53,,
Aguas Buenas,PR,"24,223",30.08,,
Aibonito,PR,"24,637",31.31,,
Añasco,PR,"25,596",39.29,,
Arecibo,PR,"87,754",125.95,,
Arroyo,PR,"15,843",15.01,,
Barceloneta,PR,"22,657",18.69,,
Barranquitas,PR,"28,983",34.25,,
Bayamón,PR,"185,187",44.32,,
Cabo Rojo,PR,"47,158",70.37,,
Caguas,PR,"127,244",58.6,,
Camuy,PR,"32,827",46.35,,
Canóvanas,PR,"42,337",32.87,,
Carolina,PR,"154,815",45.32,,
Cataño,PR,"23,155",4.84,,
Cayey,PR,"41,652",51.93,,
Ceiba,PR,"11,307",29.04,,
Ciales,PR,"16,984",66.53,,
Cidra,PR,"39,970",36.02,,
Coamo,PR,"34,668",78.1,,
Comerío,PR,"18,883",28.4,,
Corozal,PR,"34,571",42.57,,
